starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 12:17:47 2022	1671707867	0	71	71	68
Thu Dec 22 12:17:47 2022	1671707867	2	655	657	654
Thu Dec 22 12:17:47 2022	1671707867	2	1210	1212	1210
Thu Dec 22 12:17:47 2022	1671707867	3	1394	1397	1394
Thu Dec 22 12:17:47 2022	1671707867	3	1406	1409	1406
Thu Dec 22 12:17:47 2022	1671707867	3	1413	1416	1412
Thu Dec 22 12:18:41 2022	1671707921	0	1420	1420	1420
Thu Dec 22 12:18:41 2022	1671707921	0	1420	1421	1420
Thu Dec 22 12:17:47 2022	1671707867	3	1425	1428	1424
Thu Dec 22 12:18:41 2022	1671707921	0	1434	1434	1434
Thu Dec 22 12:18:41 2022	1671707921	0	1445	1446	1445
Thu Dec 22 12:18:41 2022	1671707921	0	1471	1471	1470
Thu Dec 22 12:18:41 2022	1671707921	0	1494	1494	1494
Thu Dec 22 12:18:41 2022	1671707921	0	1518	1518	1518
Thu Dec 22 12:17:47 2022	1671707867	2	1542	1545	1542
Thu Dec 22 12:18:41 2022	1671707921	0	1579	1579	1578
Thu Dec 22 12:18:41 2022	1671707921	0	1595	1596	1595
Thu Dec 22 12:18:41 2022	1671707921	0	1608	1608	1608
Thu Dec 22 12:17:47 2022	1671707867	3	1621	1624	1621
Thu Dec 22 12:18:41 2022	1671707921	0	1635	1635	1634
Thu Dec 22 12:17:47 2022	1671707867	2	1634	1637	1634
Thu Dec 22 12:18:41 2022	1671707921	0	1647	1647	1646
Thu Dec 22 12:18:41 2022	1671707921	0	1651	1651	1651
Thu Dec 22 12:17:47 2022	1671707867	3	1648	1652	1648
Thu Dec 22 12:18:41 2022	1671707921	0	1654	1654	1653
Thu Dec 22 12:18:41 2022	1671707921	0	1660	1660	1659
Thu Dec 22 12:17:47 2022	1671707867	3	1668	1672	1668
Thu Dec 22 12:18:41 2022	1671707921	0	1675	1675	1674
Thu Dec 22 12:17:47 2022	1671707867	2	1673	1675	1673
Thu Dec 22 12:17:47 2022	1671707867	2	1677	1679	1677
Thu Dec 22 12:18:41 2022	1671707921	0	1696	1696	1695
Thu Dec 22 12:17:47 2022	1671707867	3	1719	1722	1718
Thu Dec 22 12:18:40 2022	1671707920	0	1757	1757	1756
Thu Dec 22 12:18:40 2022	1671707920	0	1763	1763	1763
Thu Dec 22 12:17:47 2022	1671707867	3	1784	1787	1784
Thu Dec 22 12:18:40 2022	1671707920	0	1787	1787	1787
Thu Dec 22 12:17:47 2022	1671707867	2	1793	1796	1793
Thu Dec 22 12:18:40 2022	1671707920	0	1797	1797	1797
Thu Dec 22 12:17:47 2022	1671707867	2	1795	1797	1795
Thu Dec 22 12:18:40 2022	1671707920	0	1814	1814	1813
Thu Dec 22 12:17:47 2022	1671707867	3	1815	1818	1815
Thu Dec 22 12:17:49 2022	1671707869	0	1831	1831	1831
Thu Dec 22 12:17:48 2022	1671707868	0	1832	1832	1832
Thu Dec 22 12:17:49 2022	1671707869	0	1850	1850	1850
Thu Dec 22 12:18:40 2022	1671707920	0	1852	1852	1852
Thu Dec 22 12:18:40 2022	1671707920	0	1864	1864	1864
Thu Dec 22 12:17:47 2022	1671707867	3	1862	1865	1862
Thu Dec 22 12:18:40 2022	1671707920	0	1873	1874	1873
Thu Dec 22 12:18:40 2022	1671707920	0	1875	1875	1875
Thu Dec 22 12:18:40 2022	1671707920	0	1876	1876	1876
Thu Dec 22 12:17:47 2022	1671707867	3	1882	1885	1882
Thu Dec 22 12:17:47 2022	1671707867	3	1890	1893	1889
Thu Dec 22 12:18:40 2022	1671707920	0	1893	1893	1893
