starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 12:39:50 2022	1671709190	2	42	44	42
Thu Dec 22 12:39:50 2022	1671709190	0	70	71	68
Thu Dec 22 12:39:50 2022	1671709190	3	1011	1014	1010
Thu Dec 22 12:39:50 2022	1671709190	2	1180	1182	1180
Thu Dec 22 12:40:45 2022	1671709245	0	1194	1195	1194
Thu Dec 22 12:39:50 2022	1671709190	3	1266	1270	1266
Thu Dec 22 12:39:50 2022	1671709190	3	1273	1276	1273
Thu Dec 22 12:40:45 2022	1671709245	0	1295	1295	1295
Thu Dec 22 12:40:45 2022	1671709245	0	1303	1303	1303
Thu Dec 22 12:40:45 2022	1671709245	0	1332	1333	1332
Thu Dec 22 12:40:45 2022	1671709245	0	1438	1438	1437
Thu Dec 22 12:40:45 2022	1671709245	0	1480	1480	1480
Thu Dec 22 12:39:50 2022	1671709190	3	1501	1505	1501
Thu Dec 22 12:40:45 2022	1671709245	0	1628	1628	1628
Thu Dec 22 12:40:44 2022	1671709244	0	1673	1673	1672
Thu Dec 22 12:40:44 2022	1671709244	0	1680	1680	1680
Thu Dec 22 12:39:50 2022	1671709190	3	1700	1703	1700
Thu Dec 22 12:39:50 2022	1671709190	3	1702	1705	1701
Thu Dec 22 12:39:50 2022	1671709190	3	1742	1746	1742
Thu Dec 22 12:39:50 2022	1671709190	3	1812	1815	1811
Thu Dec 22 12:39:50 2022	1671709190	3	1862	1865	1862
Thu Dec 22 12:39:50 2022	1671709190	3	1881	1884	1881
Thu Dec 22 12:39:50 2022	1671709190	3	1890	1894	1890
Thu Dec 22 12:39:50 2022	1671709190	3	1939	1942	1939
Thu Dec 22 12:40:44 2022	1671709244	0	1953	1953	1953
Thu Dec 22 12:39:50 2022	1671709190	3	1983	1986	1982
Thu Dec 22 12:39:50 2022	1671709190	3	1999	2002	1998
Thu Dec 22 12:40:44 2022	1671709244	0	2008	2008	2008
Thu Dec 22 12:39:50 2022	1671709190	3	2026	2029	2025
Thu Dec 22 12:39:50 2022	1671709190	3	2028	2032	2028
Thu Dec 22 12:39:50 2022	1671709190	3	2048	2051	2047
Thu Dec 22 12:39:50 2022	1671709190	3	2075	2078	2075
Thu Dec 22 12:39:50 2022	1671709190	3	2094	2097	2094
Thu Dec 22 12:40:44 2022	1671709244	0	2103	2103	2103
Thu Dec 22 12:40:44 2022	1671709244	0	2114	2114	2114
Thu Dec 22 12:40:44 2022	1671709244	0	2115	2115	2115
Thu Dec 22 12:40:44 2022	1671709244	0	2116	2116	2116
Thu Dec 22 12:40:44 2022	1671709244	0	2123	2123	2122
Thu Dec 22 12:40:44 2022	1671709244	0	2137	2137	2136
Thu Dec 22 12:40:44 2022	1671709244	0	2147	2148	2147
Thu Dec 22 12:39:50 2022	1671709190	3	2148	2152	2148
Thu Dec 22 12:40:44 2022	1671709244	0	2166	2166	2166
Thu Dec 22 12:39:50 2022	1671709190	3	2173	2177	2173
Thu Dec 22 12:39:50 2022	1671709190	3	2183	2186	2182
Thu Dec 22 12:39:50 2022	1671709190	3	2186	2190	2186
Thu Dec 22 12:39:50 2022	1671709190	3	2191	2194	2190
Thu Dec 22 12:39:50 2022	1671709190	3	2211	2214	2211
Thu Dec 22 12:39:50 2022	1671709190	3	2231	2235	2231
Thu Dec 22 12:39:50 2022	1671709190	3	2238	2242	2238
Thu Dec 22 12:40:44 2022	1671709244	0	2243	2243	2243
Thu Dec 22 12:39:50 2022	1671709190	3	2257	2260	2256
Thu Dec 22 12:39:50 2022	1671709190	3	2273	2276	2272
Thu Dec 22 12:39:50 2022	1671709190	3	2280	2283	2280
Thu Dec 22 12:39:50 2022	1671709190	3	2304	2308	2304
Thu Dec 22 12:40:44 2022	1671709244	0	2332	2332	2331
Thu Dec 22 12:40:44 2022	1671709244	0	2339	2339	2339
Thu Dec 22 12:40:44 2022	1671709244	0	2347	2347	2347
Thu Dec 22 12:40:35 2022	1671709235	0	2352	2352	2352
Thu Dec 22 12:40:10 2022	1671709210	0	2356	2356	2356
Thu Dec 22 12:40:44 2022	1671709244	0	2387	2387	2386
Thu Dec 22 12:40:18 2022	1671709218	0	2389	2389	2388
Thu Dec 22 12:39:59 2022	1671709199	0	2393	2393	2392
Thu Dec 22 12:39:50 2022	1671709190	3	2390	2393	2389
Thu Dec 22 12:40:43 2022	1671709243	0	2396	2396	2396
Thu Dec 22 12:39:50 2022	1671709190	3	2396	2399	2395
Thu Dec 22 12:39:50 2022	1671709190	3	2399	2402	2399
Thu Dec 22 12:40:03 2022	1671709203	0	2410	2410	2410
Thu Dec 22 12:40:44 2022	1671709244	0	2415	2415	2415
Thu Dec 22 12:40:13 2022	1671709213	0	2415	2415	2410
Thu Dec 22 12:40:44 2022	1671709244	0	2415	2415	2415
Thu Dec 22 12:40:32 2022	1671709232	0	2419	2419	2419
Thu Dec 22 12:40:44 2022	1671709244	0	2421	2421	2421
Thu Dec 22 12:39:50 2022	1671709190	3	2419	2422	2419
Thu Dec 22 12:40:44 2022	1671709244	0	2422	2422	2422
Thu Dec 22 12:40:44 2022	1671709244	0	2423	2424	2423
Thu Dec 22 12:40:43 2022	1671709243	0	2425	2425	2425
Thu Dec 22 12:40:44 2022	1671709244	0	2426	2426	2426
Thu Dec 22 12:40:44 2022	1671709244	0	2427	2427	2426
Thu Dec 22 12:40:12 2022	1671709212	0	2427	2427	2427
Thu Dec 22 12:39:50 2022	1671709190	3	2426	2429	2425
Thu Dec 22 12:39:50 2022	1671709190	3	2433	2437	2433
Thu Dec 22 12:40:43 2022	1671709243	0	2438	2438	2437
Thu Dec 22 12:39:50 2022	1671709190	3	2440	2443	2440
Thu Dec 22 12:40:26 2022	1671709226	0	2445	2445	2445
Thu Dec 22 12:40:32 2022	1671709232	0	2446	2446	2446
Thu Dec 22 12:39:50 2022	1671709190	3	2443	2446	2443
Thu Dec 22 12:40:04 2022	1671709204	0	2452	2452	2452
Thu Dec 22 12:39:50 2022	1671709190	3	2456	2460	2456
Thu Dec 22 12:39:55 2022	1671709195	0	2461	2462	2461
Thu Dec 22 12:40:43 2022	1671709243	0	2469	2469	2468
Thu Dec 22 12:40:44 2022	1671709244	0	2470	2470	2469
Thu Dec 22 12:40:43 2022	1671709243	0	2471	2471	2471
Thu Dec 22 12:40:43 2022	1671709243	0	2473	2473	2473
Thu Dec 22 12:40:43 2022	1671709243	0	2475	2475	2474
Thu Dec 22 12:40:43 2022	1671709243	0	2481	2481	2481
Thu Dec 22 12:40:43 2022	1671709243	0	2483	2483	2483
Thu Dec 22 12:40:09 2022	1671709209	0	2485	2485	2485
Thu Dec 22 12:40:43 2022	1671709243	0	2485	2485	2485
Thu Dec 22 12:39:50 2022	1671709190	3	2483	2486	2482
Thu Dec 22 12:40:10 2022	1671709210	0	2486	2487	2486
Thu Dec 22 12:40:43 2022	1671709243	0	2488	2488	2488
Thu Dec 22 12:39:53 2022	1671709193	0	2490	2490	2490
Thu Dec 22 12:39:58 2022	1671709198	0	2490	2491	2490
Thu Dec 22 12:40:37 2022	1671709237	0	2491	2491	2490
Thu Dec 22 12:40:43 2022	1671709243	0	2497	2497	2497
Thu Dec 22 12:40:32 2022	1671709232	0	2511	2511	2511
Thu Dec 22 12:40:10 2022	1671709210	0	2511	2511	2511
Thu Dec 22 12:40:21 2022	1671709221	0	2512	2512	2512
Thu Dec 22 12:40:35 2022	1671709235	0	2520	2520	2520
Thu Dec 22 12:40:34 2022	1671709234	0	2522	2522	2522
Thu Dec 22 12:40:27 2022	1671709227	0	2523	2523	2522
Thu Dec 22 12:40:18 2022	1671709218	0	2527	2527	2527
Thu Dec 22 12:40:23 2022	1671709223	0	2528	2528	2527
Thu Dec 22 12:40:32 2022	1671709232	0	2533	2533	2533
Thu Dec 22 12:40:17 2022	1671709217	0	2538	2539	2538
Thu Dec 22 12:40:32 2022	1671709232	0	2546	2547	2546
Thu Dec 22 12:40:27 2022	1671709227	0	2548	2548	2547
Thu Dec 22 12:40:12 2022	1671709212	0	2548	2548	2547
Thu Dec 22 12:39:50 2022	1671709190	3	2545	2549	2545
Thu Dec 22 12:40:32 2022	1671709232	0	2550	2550	2550
Thu Dec 22 12:40:39 2022	1671709239	0	2551	2551	2551
